DHSCLUST,Wealth_Index
1,-1.2126925
2,-0.6917873913043479
3,-1.30489
4,-1.9005288888888887
5,-1.083710357142857
6,-1.004715
7,-0.49562772727272725
8,-1.1864296774193548
9,-0.798525
10,-1.4557441379310345
11,-1.992060425531915
12,-1.0361282142857142
13,-0.2889825
14,0.3495409523809524
15,-0.3242288888888889
16,0.7577652631578948
17,-0.9139722222222222
18,-0.552979
19,0.32349952380952385
20,-0.608132105263158
21,0.2609341666666667
22,-0.6344918181818181
23,0.31797034482758624
24,0.09980885714285713
25,-0.4480518
26,-0.7809403448275861
27,-0.08887096774193548
28,-0.09728083333333333
29,-0.30379194444444446
30,-0.3507731034482759
31,-0.6662568181818181
32,-1.554069375
33,-1.494509655172414
34,-1.1011732558139535
35,-0.8253073076923076
36,-0.42101638888888887
37,-1.3736568965517242
38,-1.0817611111111112
39,-0.7751210000000001
40,-0.8048226666666667
41,-0.8073764285714286
42,-1.280865185185185
43,-1.8644296551724138
44,-1.1222155555555555
45,-1.5219655172413793
46,-1.803631111111111
47,-0.14247766666666667
48,-1.9984110344827588
49,-1.6097322222222221
50,-1.6751292857142859
51,-1.5556413333333334
52,-1.8336496551724137
53,-0.139848125
54,-0.5507286206896552
55,-0.9795396551724138
56,-0.22796827586206897
57,-2.072986896551724
58,-1.632280303030303
59,-0.5466368965517241
60,-2.148936206896552
61,-2.1214860606060606
62,-1.1602609803921569
63,-1.303483947368421
64,-1.289973448275862
65,-1.1662925
66,-1.0447953333333333
67,0.3213469696969697
68,-1.581499761904762
69,-1.2053891428571428
70,-1.5377295
71,0.40536285714285714
72,0.12288619047619045
73,-0.04193391304347827
74,0.3934588
75,-0.469875
76,0.47311479999999995
77,-0.18770285714285714
78,-0.08382275862068965
79,0.4396891304347826
80,-0.012928333333333342
81,-0.030010967741935488
82,-0.5693848148148148
83,0.7031999999999999
84,0.3955
85,-0.4557165384615385
86,0.2865882142857143
87,0.3541124
88,-0.08530185185185186
89,-0.18970653846153848
90,0.10228360000000002
91,-1.09002125
92,0.12339962962962965
93,-0.9643682142857143
94,-0.46555814814814817
95,1.1679386363636364
96,0.9072834999999999
97,0.8165236363636363
98,1.2649719047619048
99,0.8432155
100,1.2311557142857144
101,0.9824731818181818
102,0.8388895454545454
103,0.32947034482758625
104,0.479341724137931
105,0.3816213793103448
106,0.8473249999999999
107,0.695979
108,0.8172882142857143
109,0.8376268965517242
110,0.6472831034482759
111,0.07468399999999999
112,-0.41223310344827585
113,0.5895820689655172
114,0.7621406896551725
115,-0.32285
116,-0.6072313793103448
117,-0.343131724137931
118,0.28448799999999996
119,-0.5505540740740741
120,-0.37974655172413796
121,0.4109621428571429
122,-0.45312285714285716
123,-0.8613392307692307
124,0.1803856
125,0.027386785714285707
126,-0.5582896428571429
127,0.6883242857142857
128,-0.04852172413793103
129,-0.34118655172413787
130,0.4370417241379311
131,-0.9203145833333334
132,-0.4912120689655172
133,0.06667137931034482
134,-0.022632307692307695
135,-0.6260524137931034
136,-0.03190821428571429
137,-0.3550713793103448
138,-0.39071607142857145
139,0.08456172413793102
